State,District,Township,ElectionType,Candidate,Party,Votes,Election,AdvanceVote,Gender
Chin,Thantlang,Chin-Amyotha3,Amyotha,ဦးဟင်နရီဗန်ထီးယူ,NLD,9393,2015,472,M
Yangon,East,Dagon Myothit (East),Pyithu,ဒေါ်စန်းရည်ထူး,MFDP,804,2015,41,F
Yangon,East,Dagon Myothit (East),Pyithu,ဦးလှဝင်း,NDP,1265,2015,51,M
Yangon,East,Dagon Myothit (East),Pyithu,ဦးစိုးဦး,NDF,2071,2015,89,M
Yangon,East,Dagon Myothit (East),Pyithu,_invalid,,2978,2015,,
Yangon,East,Dagon Myothit (East),Pyithu,ဦးမြင့်သူ,USDP,16270,2015,1227,M
Yangon,East,Dagon Myothit (East),Pyithu,_noshow,,31475,2015,,
Yangon,East,Dagon Myothit (East),Pyithu,ဒေါက်တာမျိုးအောင်,NLD,56086,2015,2054,M
Yangon,East,Dagon Myothit (Seikkan),Pyithu,ဦးမြင့်စိုး,UDP,94,2015,4,M
Yangon,East,Dagon Myothit (Seikkan),Pyithu,ဦးစောလှိုင်,Independent,145,2015,1,M
Yangon,East,Dagon Myothit (Seikkan),Pyithu,ဦးလှိုင်မင်းထွန်း,Independent,179,2015,10,M
Yangon,East,Dagon Myothit (Seikkan),Pyithu,ဦးဦးမြင့်,NDF,254,2015,4,M
Yangon,East,Dagon Myothit (Seikkan),Pyithu,ဦးသိန်းလှိုင်,NNDP,285,2015,8,M
Yangon,East,Dagon Myothit (Seikkan),Pyithu,ဦးကြည်စိန်,NDP,340,2015,8,M
Yangon,East,Dagon Myothit (Seikkan),Pyithu,ဦးသူရထွန်း,88 GSY (Union of Myanmar),757,2015,20,M
Yangon,East,Dagon Myothit (Seikkan),Pyithu,_invalid,,1710,2015,,
Yangon,East,Dagon Myothit (Seikkan),Pyithu,ဒေါက်တာအောင်မျိုး,USDP,8062,2015,310,M
Yangon,East,Dagon Myothit (Seikkan),Pyithu,ဦးကျော်ဝင်း,NLD,27378,2015,410,M
Yangon,East,Dagon Myothit (Seikkan),Pyithu,_noshow,,43100,2015,,
Yangon,North,Hlaingthayar,Pyithu,ဦးထွန်းထွန်းဝင်း,NNDP,565,2015,20,M
Yangon,North,Hlaingthayar,Pyithu,ဦးကျော်ဆွေ,UDP,981,2015,42,M
Yangon,North,Hlaingthayar,Pyithu,ဦးစန်းယု,NDP,1007,2015,36,M
Yangon,North,Hlaingthayar,Pyithu,ဦးအောင်ကြီး,DPFMNS,1273,2015,15,M
Yangon,North,Hlaingthayar,Pyithu,ဒေါ်ခိုင်ခိုင်ဆွေ,DP (Myanmar),1291,2015,35,F
Yangon,North,Hlaingthayar,Pyithu,ဦးယဥ်အောင်,NDF,1632,2015,39,M
Yangon,North,Hlaingthayar,Pyithu,ဦးခင်စိုး,FUP,2631,2015,78,M
Yangon,North,Hlaingthayar,Pyithu,ဦးခင်ဦး,NUP,2649,2015,96,M
Yangon,North,Hlaingthayar,Pyithu,ဦးမင်းမင်းထွန်း,PCSDP,3509,2015,83,M
Yangon,North,Hlaingthayar,Pyithu,ဦးသင်္ခါကျော်,ANP,4911,2015,83,M
Yangon,North,Hlaingthayar,Pyithu,ဦးရဲထွန်း,88 GSY (Union of Myanmar),5756,2015,223,M
Yangon,North,Hlaingthayar,Pyithu,_invalid,,18031,2015,,
Yangon,North,Hlaingthayar,Pyithu,ဦးဉာဏ်ဝင်း,USDP,18716,2015,1540,M
Yangon,North,Hlaingthayar,Pyithu,ဒေါက်တာသန်းမြင့်,NLD,103832,2015,2870,M
Yangon,North,Hlaingthayar,Pyithu,_noshow,,287523,2015,,
Kayah,Loikaw,Hpruso1,Region/State,ဒေါ်စနိုးရာ,KUDP,178,2015,22,F
Kayah,Loikaw,Hpruso1,Region/State,ဦးသေ့ရယ်,NDP,431,2015,42,M
Kayah,Loikaw,Hpruso1,Region/State,ဦးစောဟူးဟူး,Independent,475,2015,68,M
Kayah,Loikaw,Hpruso1,Region/State,_invalid,,679,2015,,
Kayah,Loikaw,Hpruso1,Region/State,ဦးသန်းစိန်,ANDPKayah,1057,2015,61,M
Kayah,Loikaw,Hpruso1,Region/State,_noshow,,1405,2015,,
Kayah,Loikaw,Hpruso1,Region/State,ဦးဆူရယ်,USDP,1479,2015,225,M
Kayah,Loikaw,Hpruso1,Region/State,ဦးသိုးရယ်,NLD,2989,2015,228,M
Yangon,South District,Kawhmu,Pyithu,ဒေါ်ရီရီစံ,MPP,293,2015,8,F
Yangon,South District,Kawhmu,Pyithu,ဦးညီဝင်း,MFDP,513,2015,10,M
Yangon,South District,Kawhmu,Pyithu,ဒေါ်ယုယုခိုင်,NDP,515,2015,17,F
Yangon,South District,Kawhmu,Pyithu,_invalid,,2825,2015,,
Yangon,South District,Kawhmu,Pyithu,ဦးကျော်ဇင်ဟိန်း,USDP,15312,2015,745,M
Yangon,South District,Kawhmu,Pyithu,_noshow,,18004,2015,,
Yangon,South District,Kawhmu,Pyithu,ဒေါ်အောင်ဆန်းစုကြည်,NLD,54676,2015,2132,F
East Shan State,Keng Tung,Kengtung c2,Region/State,ဦးအိုက်စိုင်း,NDF,659,2015,20,M
East Shan State,Keng Tung,Kengtung c2,Region/State,ဦးဖရန်စစ်(ခ)ဦအိုင်ရှဲန်,WNUP,664,2015,22,M
East Shan State,Keng Tung,Kengtung c2,Region/State,ဦးစိုင်းစိုင်းလုံ,ESSDDP,887,2015,29,M
East Shan State,Keng Tung,Kengtung c2,Region/State,ဦးစောဖေ,LNDP,1235,2015,34,M
East Shan State,Keng Tung,Kengtung c2,Region/State,ဦးစိုင်းဝန်းတစ်,SNDP,1592,2015,62,M
East Shan State,Keng Tung,Kengtung c2,Region/State,ဒေါ်နန်းခမ်းကြာ,SNLD,1789,2015,77,F
East Shan State,Keng Tung,Kengtung c2,Region/State,_invalid,,4364,2015,,
East Shan State,Keng Tung,Kengtung c2,Region/State,ဦးစိုင်းဆမ်တစ်ယီ,NLD,7362,2015,496,M
East Shan State,Keng Tung,Kengtung c2,Region/State,ဦးပီတာသောင်းစိန်,USDP,9679,2015,1496,M
East Shan State,Keng Tung,Kengtung c2,Region/State,_noshow,,27986,2015,,
Sagaing,Monywa,Monywa,Pyithu,ဦးသျှိုင်းညီညီထက်,MFDP,1564,2015,169,M
Sagaing,Monywa,Monywa,Pyithu,ဦးသန်းဆွေမြင့်(ခ)ကိုစိုး,NUP,2452,2015,205,M
Sagaing,Monywa,Monywa,Pyithu,_invalid,,4327,2015,,
Sagaing,Monywa,Monywa,Pyithu,ဦးသန်းထွန်းအောင် ,USDP,24246,2015,4208,M
Sagaing,Monywa,Monywa,Pyithu,_noshow,,59016,2015,,
Sagaing,Monywa,Monywa,Pyithu,ဦးသန့်စင်မောင်,NLD,167865,2015,10909,M
South Shan State,Taunggyi,NyaungShwe1,Region/State,ဒေါ်သွယ်သွယ်အေး,SNLD,571,2015,24,F
South Shan State,Taunggyi,NyaungShwe1,Region/State,ဦးနိုင်အောင်ဌေး(ခ)အယ်စိုင်း,FUP,1625,2015,39,M
South Shan State,Taunggyi,NyaungShwe1,Region/State,_invalid,,1742,2015,,
South Shan State,Taunggyi,NyaungShwe1,Region/State,ဦးတင်အောင်ကျော်,INLP,2536,2015,209,M
